,Time,zF
6317,315.85,-0.6151932816276763
6318,315.9,-0.6069031290865067
6319,315.95,-0.5934150001550943
6320,316.0,-0.5858203392257674
6321,316.05,-0.5796523453812064
6322,316.1,-0.5681206429042426
6323,316.15,-0.5663101150216612
6324,316.2,-0.5521270123479594
6325,316.25,-0.5449513961601588
6326,316.3,-0.5373963952620409
6327,316.35,-0.5266330380788177
6328,316.4,-0.5250424519730793
6329,316.45,-0.5273333727376981
6330,316.5,-0.5200203294143926
6331,316.55,-0.5174768935348633
6332,316.6,-0.5115842112845062
6333,316.65,-0.5031648351705802
6334,316.7,-0.48053374158793505
6335,316.75,-0.46307870525610934
6336,316.8,-0.4529011144573503
6337,316.85,-0.43624040416533255
6338,316.9,-0.4287101304931764
6339,316.95,-0.4262315974196066
6340,317.0,-0.4166350693629449
6341,317.05,-0.4004554815636089
6342,317.1,-0.39464205314309647
6343,317.15,-0.38835959765400935
6344,317.2,-0.37934429497674105
6345,317.25,-0.3701930641884668
6346,317.3,-0.3613807869462188
6347,317.35,-0.34399286587677
6348,317.4,-0.3390790179599334
6349,317.45,-0.32814671710026416
6350,317.5,-0.31894794187079845
6351,317.55,-0.314002193942265
6352,317.6,-0.3180419811394914
6353,317.65,-0.3166123284073422
6354,317.7,-0.3114347291838657
6355,317.75,-0.31665944468918755
6356,317.8,-0.33310077142461164
6357,317.85,-0.34286921383330526
6358,317.9,-0.3634516375754944
6359,317.95,-0.3879644242612899
6360,318.0,-0.4013844708801466
